"Address","MaxLength","Original","Cantonese","English","Patched Japanese","Comments"
"0x1BE878","8","一等兵","一等兵","PFC","",""
"0x1BE880","8","上等兵","上等兵","L/CPL","",""
"0x1BE888","8","伍　長","伍　長","CPL","",""
"0x1BE890","8","軍　曹","軍　曹","SGT","",""
"0x1BE898","8","曹　長","曹　長","SGM","",""
"0x1BE8A0","8","少　尉","少　尉","2.LT","",""
"0x1BE8A8","8","中　尉","中　尉","1.LT","",""
"0x1BE8B0","8","大　尉","大　尉","CAP","",""
"0x1BE8B8","8","少　佐","少　佐","MAJ","",""
"0x1BE8C0","8","中　佐","中　佐","L/COL","",""
"0x1BE8C8","8","大　佐","大　佐","COL","",""
"0x1BE8D0","8","少　将","少　將","M/GEN","",""
"0x1BE8D8","8","中　将","中　將","L/GEN","",""
"0x1BE8E0","8","大　将","大　將","GEN","",""
"0x1BE8E8","8","さん","San","San","",""
"//0x1BE8F0","16","なし","","","",""
"//0x1BE900","20","課金対象電話番号","","","",""
"//0x1BE914","8","氏名","","","",""
"//0x1BE91C","8","年齢","","","",""
"//0x1BE924","12","郵便番号","","","",""
"//0x1BE930","8","住所","","","",""
"//0x1BE938","24","は必ず入力して下さい","","","",""
"0x1BE950","36","この内容で登録してよろしいですか？","        確定要註冊此内容？","Confirm registering with this info?","",""
"0x1BE974","8","はい","確定"," Yes","",""
"0x1BE97C","8","いいえ"," 取消","  No","",""
"//0x1BE984","36","ダウンロードしてもよろしいですか？","","","",""
"//0x1BE9A8","8","ＩＤ：","","","",""
"//0x1BE9B0","28","はすでに登録されています","","","",""
"//0x1BE9CC","8","ダミー","","","",""
"//0x1BE9D4","20","ダウンロード中です","","","",""
"//0x1BE9E8","100","接続に失敗しました","","","",""
"//0x1BE9FC","24","接続できませんでした","","","",""
"//0x1BEA14","24","モジュラーケーブルが","","","",""
"//0x1BEA2C","24","本体につながっているか","","","",""
"//0x1BEA44","40","モデムの設定が正しいか確認して下さい","","","",""
"//0x1BEA6C","32","正しい設定であるにもかかわらず","","","",""
"//0x1BEA8C","20","反応がない場合は","","","",""
"//0x1BEAA0","36","カプコンユーザーサポートセンターに","","","",""
"//0x1BEAC4","20","お問い合わせ下さい","","","",""
"//0x1BEAD8","28","ダウンロードが失敗しました","","","",""
"//0x1BEAF4","12","話し中です","","","",""
"//0x1BEB00","28","しばらく時間をおいて下さい","","","",""
"//0x1BEB1C","24","モデムの設定が正しいか","","","",""
"//0x1BEB34","16","確認して下さい","","","",""
"//0x1BEB44","32","システムデータが複数あります","","","",""
"//0x1BEB64","36","どのポートのデータを使用しますか？","","","",""
"//0x1BEB88","8","Ａ−１","","","",""
"//0x1BEB90","8","Ａ−２","","","",""
"//0x1BEB98","32","ただいま対戦相手を捜しています","","","",""
"//0x1BEBB8","24","しばらくお待ち下さい","","","",""
"//0x1BEBD0","28","ダウンロードが終了しました","","","",""
"//0x1BEBEC","20","対戦を断られました","","","",""
"//0x1BEC00","28","ＫＤＤＩ回線で接続中です","","","",""
"//0x1BEC1C","40","対戦中は電源を切ったりしないで下さい","","","",""
"0x1BEC44","36","回線が不安定なため切断されました","     網絡不穩定，已中斷連線","Disconnected due to unstable line","",""
"0x1BEC68","24","Ａボタンを押して下さい","       請按Ａ掣","Please press Button A","",""
"0x1BEC80","36","ハンドルネームが入力されていません","          未輸入網絡名稱","    Handle Name cannot be blank","",""
"0x1BECA4","36","このハンドルネームで登録しますか？","        確認使用此網絡名稱？","  Confirm using this Handle Name?","",""
"//0x1BECC8","16","を登録しました","","","",""
"//0x1BECD8","24","を登録できませんでした","","","",""
"//0x1BECF0","32","これ以上ＩＤを登録できません","","","",""
"//0x1BED10","32","ＩＤの編集をおこなって下さい","","","",""
"//0x1BED30","20","登録が完了しました","","","",""
"//0x1BED44","24","あなたのカプコンＩＤは","","","",""
"//0x1BED5C","8","です","","","",""
"0x1BED64","28","マルチマッチングサーバーに","     GDXSV 免費SERVER","GDXSV FREE OF CHARGE SERVER","    無料GDXSVサーバー",""
"//0x1BED80","12","接続中です","","","",""
"//0x1BED8C","36","スタートボタンを１秒間以上押すと","","","",""
"//0x1BEDB0","20","キャンセルします","","","",""
"//0x1BEDC4","26","最新の通信ゲーム利用規約に","","","",""
"//0x1BEDE0","16","同意しますか？","","","",""
"//0x1BEDF0","28","は現在、通信対戦サーバーに","","","",""
"//0x1BEE0C","32","接続していないか、対戦中です","","","",""
"0x1BEE2C","32","接続中は通信料金がかかります","  原來撥號連線所産生的費用"," Original charges by dial-up","    オリジナルモデム料金",""
"0x1BEE4C","36","マルチマッチングサーバーに接続中は","         連接到遊戲大廳時","  while connected to lobby server","",""
"0x1BEE70","32","３分１０円の接続料がかかります","        毎３分鐘１０円","       ¥10 per 3 minutes","",""
"0x1BEE90","12","対戦時には","  對戰時","For battle","",""
"0x1BEE9C","32","１分１３円の接続料がかかります","        毎１分鐘１３円","       ¥13 per 1 minutes","",""
"0x1BEEBC","20","接続しますか？","   是否連接？","   Connect?","",""
"//0x1BEED0","32","メモリーカードをチェック中です","","","",""
"0x1BEEF0","32","電源を切ったりメモリーカードを","     請勿關機或移除記憶槽"," Do not turn off Dreamcast or","",""
"0x1BEF10","24","抜いたりしないで下さい"," ","or remove memory card","",""
"//0x1BEF28","32","正しくロードできませんでした","","","",""
"0x1BEF48","12","操作説明","操作説明","How to use","",""
"0x1BEF54","24","方向ボタン ：上下左右","方向掣   ：上下左右","DPad: Direction","",""
"0x1BEF6C","20","Ａボタン   ：決定","Ａ掣     ：決定","A: OK","",""
"0x1BEF80","24","Ｂボタン   ：キャンセル","Ｂ掣     ：取消","B: Cancel","",""
"0x1BEF98","36","Ｙボタン   ：ソフトキーボード表示","Ｙ掣     ：顯示螢幕小鍵盤","Y: Show On-Screen Keyboard","",""
"0x1BEFBC","24","Ｘボタン   ：過去ログ","Ｘ掣     ：聊天紀録","X: Show Chatlog","",""
"0x1BEFD4","24","           ：ページ送り"," "," ","",""
"0x1BEFEC","24","STARTボタン：閉じる ","START掣：關閉","START: Close","",""
"//0x1BF004","24","のＩＤを登録しますか？","","","",""
"0x1BF01C","20","ゲームに戻ります"," 返回遊戲主目録","Back to main menu","",""
"0x1BF030","36","回線を切断してもよろしいですか？","         確認中斷連線？","     Confirm disconnecting?","",""
"//0x1BF054","32","正しくセーブできませんでした","","","",""
"//0x1BF074","28","登録済みのメモリーカードを","","","",""
"//0x1BF090","32","ポート　　　に接続して下さい","","","",""
"//0x1BF0B0","32","カプコンサーバーと交信中です","","","",""
"//0x1BF0D0","24","モデムが見つかりません","","","",""
"//0x1BF0E8","24","モデムが外れていないか","","","",""
"//0x1BF100","36","通信ゲーム利用規約に同意しない場合","","","",""
"//0x1BF124","36","通信対戦を利用する事ができませんが","","","",""
"//0x1BF148","24","よろしいでしょうか？","","","",""
"0x1BF160","40","本体に電話回線が接続されていることを","1.為確保連線質素,請使用LAN線進行遊戲","1.Use wired connection for best exp.","1.接続品質を維持するため、有線接続で",""
"0x1BF188","20","確認してください","用Wi-Fi會超級窒!!!","Wi-Fi is laggy!","ご利用ください",""
"0x1BF19C","36","電話回線契約者（ご家族の方等）の","閣下可能唔覺窒，但係其他3個人就","Even if you don't feel it, other","Wi-Fiを使用する場合、接続速度に影響",""
"0x1BF1C0","24","承諾を得ていますか？","窒到呀媽都唔認得 :0)","players'll be affected.","    があります",""
"0x1BF1D8","28","通信対戦をプレイするには","2.開始對戰後,千祈唔好閂game","2.Do not disconnect after","2.戦闘開始後にFlycastを終了",""
"0x1BF1F4","24","通信ゲーム利用規約に","要出番去大廳先可以閂","battle has started","させないでください",""
"0x1BF20C","24","同意する必要があります","3.不teamkill，不棄game","3.No TK, play seriously","3.チームキル/放棄なし",""
"0x1BF224","40","通信ゲーム利用規約を確認しましたか？","雖然打法唔同,但請尊重各國玩家,讓下新手","Respect all players around the world","",""
"0x1BF24C","12","同意する","同意","Agree","",""
"0x1BF258","12","同意しない","不同意","Disagree","",""
"//0x1BF264","16","モデム認識中","","","",""
"0x1BF274","32","サーバーに接続できませんでした","未能連接到server","Could not connect to server","",""
"//0x1BF294","28","サーバーがメンテナンス中の","","","",""
"//0x1BF2B0","20","可能性もあります","","","",""
"0x1BF2C4","28","一定時間入力が無かったため"," ","   No input for too long","",""
"0x1BF2E0","20","回線を切断しました","  連線已被自動中斷","Auto-disconnected","",""
"0x1BF2F4","24","通信不良が発生しました","   連線不穩定而中斷"," Unstable connection","",""
"0x1BF30C","32","対戦を終了しロビーに戻ります"," 對戰結束，將會返回遊戲大廳"," Match Ended. Back to Lobby","",""
"//0x1BF32C","32","通信ゲームファイルが登録された","","","",""
"//0x1BF34C","20","メモリーカードを","","","",""
"//0x1BF360","16","ポート　　　に","","","",""
"//0x1BF370","28","９ブロック以上空きがある","","","",""
"//0x1BF38C","32","メモリーカードを接続して下さい","","","",""
"//0x1BF3AC","36","登録内容を変更してよろしいですか？","","","",""
"//0x1BF3D0","40","通信ゲームファイルは対応するゲームで","","","",""
"//0x1BF3F8","40","共通して使えます","","","",""
"//0x1BF40C","36","対応している接続機器（モデム）が","","","",""
"//0x1BF430","16","見つかりません","","","",""
"//0x1BF440","24","解説書に表記されている","","","",""
"//0x1BF458","24","モデムをご使用下さい","","","",""
"//0x1BF470","28","他のモデムを使用する場合は","","","",""
"//0x1BF48C","28","１度本体の電源を切ってから","","","",""
"//0x1BF4A8","32","「通信対戦」を選択して下さい","","","",""
"0x1BF4C8","24","通信ゲームファイルに"," 正在保存相關設定到","Saving the settings","",""
"0x1BF4E0","24","設定を保存しています","    連線遊戲存档","to online game save","",""
"0x1BF4F8","16","セーブしました","   儲存成功","    Saved","",""
"//0x1BF508","16","ロードしました","","","",""
"//0x1BF518","8","移動中","","","",""
"//0x1BF520","24","対戦を申し込んでいます","","","",""
"//0x1BF538","20","接続を中断しました","","","",""
"0x1BF54C","36","通信ゲームファイルをロードします","載入連線遊戲存档","Load the online game save","",""
"0x1BF570","32","ファイルをロードしない場合は","如不載入，連線相關的資料","If you do not load the file","",""
"0x1BF590","36","モデム設定や他プレイヤーのＩＤ等が","例如modem設定、其他玩家的ID等","modem settings, other players' IDs","",""
"0x1BF5B4","36","セーブできませんのでご注意ください","將不會被儲存。","etc. will not be saved.","",""
"0x1BF5D8","40","通信ゲームファイルをロードしますか？","是否載入？","Do you want to load the file?","",""
"//0x1BF600","28","「通信対戦」モード終了まで","","","",""
"//0x1BF61C","24","メモリーカードを絶対に","","","",""
"//0x1BF634","20","抜かないで下さい","","","",""
"//0x1BF648","28","通信対戦を終了しますか？","","","",""
"//0x1BF664","16","ポートＡ−１に","","","",""
"//0x1BF674","16","見つかりました","","","",""
"//0x1BF684","20","通信ゲーム可能です","","","",""
"//0x1BF698","20","これ以降はモデムを","","","",""
"//0x1BF6AC","24","抜き差ししないで下さい","","","",""
"//0x1BF6C4","32","のＩＤを削除してもいいですか？","","","",""
"//0x1BF6E4","32","あなたのＩＤや通信相手のＩＤ","","","",""
"//0x1BF704","32","などメモリーカードの登録情報を","","","",""
"//0x1BF724","32","全て消去してもよろしいですか？","","","",""
"//0x1BF744","32","元のメモリーカードを接続して","","","",""
"//0x1BF764","28","正しくセーブされないので","","","",""
"//0x1BF780","16","先に進めません","","","",""
"//0x1BF790","32","元のメモリーカードがないので","","","",""
"//0x1BF7B0","16","接続できません","","","",""
"//0x1BF7C0","28","このモードを終了しますか？","","","",""
"//0x1BF7DC","20","登録しませんでした","","","",""
"//0x1BF7F0","20","はビジー状態です","","","",""
"//0x1BF804","20","しばらくしてから","","","",""
"//0x1BF818","28","再度チャレンジして下さい","","","",""
"//0x1BF834","32","モデムからの応答がありません","","","",""
"//0x1BF854","24","データをロードします","","","",""
"//0x1BF86C","32","メモリーカードを拡張ソケットに","","","",""
"//0x1BF88C","16","入れて下さい","","","",""
"//0x1BF89C","32","                      Ａ−１","","","",""
"//0x1BF8BC","36","                      Ａ−１か２","","","",""
"//0x1BF8E0","24","ＮＥＴファイル      ＝","","","",""
"//0x1BF8F8","24","システムファイル　　＝","","","",""
"//0x1BF910","16","準備ができたら","","","",""
"//0x1BF920","32","スタートボタンを押して下さい","","","",""
"//0x1BF940","24","データをロードしました","","","",""
"//0x1BF958","28","のデータが設定されました","","","",""
"//0x1BF974","28","入室条件を満たしていません","","","",""
"//0x1BF990","28","この対戦ルームは満員です","","","",""
"//0x1BF9AC","40","サーバーが混雑しているかもしれません","","","",""
"//0x1BF9D4","32","モデムの設定が正しいか確認して","","","",""
"//0x1BF9F4","28","もう一度おかけなおし下さい","","","",""
"//0x1BFA10","32","システムファイルがありません","","","",""
"//0x1BFA30","12","Ａ−１か２","","","",""
"//0x1BFA3C","36","          にシステムファイルの入った","","","",""
"//0x1BFA64","24","メモリーカードを入れて","","","",""
"//0x1BFA7C","32","モデムの設定が間違っているか","","","",""
"//0x1BFA9C","28","接続先が大変混み合っており","","","",""
"//0x1BFAB8","20","電話がかかりません","","","",""
"//0x1BFACC","20","再接続しますか？","","","",""
"//0x1BFAE0","24","相手の反応がありません","","","",""
"//0x1BFAF8","36","何らかの原因で接続できませんでした","","","",""
"//0x1BFB1C","12","サーバーが","","","",""
"//0x1BFB28","28","混雑しているかもしれません","","","",""
"0x1BFB44","24","サーバーに接続中です"," 正在連線到遊戲大廳"," Connecting to lobby","",""
"//0x1BFB5C","24","回線が混雑しています","","","",""
"//0x1BFB74","28","次の番号でかけ直しますか？","","","",""
"//0x1BFB90","32","電話番号が登録されていません","","","",""
"//0x1BFBB0","32","前回の戦いのリプレイデータを","","","",""
"//0x1BFBD0","28","ファイルにセーブしますか？","","","",""
"//0x1BFBEC","24","セーブを終了しますか？","","","",""
"//0x1BFC04","20","上書きしますか？","","","",""
"//0x1BFC18","24","新規でセーブしますか？","","","",""
"//0x1BFC30","40","Ａ-１にささっているメモリーカードに","","","",""
"//0x1BFC58","32","ＮＥＴファイルを新規作成します","","","",""
"//0x1BFC78","20","よろしいですか？","","","",""
"//0x1BFC8C","36","は現在、この対戦ルームにはいません","","","",""
"//0x1BFCB0","32","はメッセージを受け取りました","","","",""
"0x1BFCD0","16","メール送信中","   傳送中","  Sending","",""
"//0x1BFCE0","36","のメールを次回から拒否しますか？","","","",""
"//0x1BFD04","36","のメールは次回から受け取りません","","","",""
"//0x1BFD28","32","の対戦を次回から拒否しますか？","","","",""
"//0x1BFD48","28","の対戦を次回から拒否します","","","",""
"//0x1BFD64","36","これよりトーナメントを開始します","","","",""
"//0x1BFD88","28","トーナメント情報取得中です","","","",""
"//0x1BFDA4","32","しばらくそのままでお待ち下さい","","","",""
"//0x1BFDC4","36","相手がいないため不戦勝になりました","","","",""
"0x1BFDE8","20","対戦を開始します","   對戰開始"," Battle Begins","",""
"//0x1BFDFC","24","次の対戦を開始します","","","",""
"//0x1BFE14","36","只今、トーナメントが行われています","","","",""
"//0x1BFE38","36","時間をおいて再エントリーして下さい","","","",""
"//0x1BFE5C","36","トーナメントは開催されていません","","","",""
"//0x1BFE80","40","エントリー条件が満たされていないため","","","",""
"//0x1BFEA8","24","エントリーできません","","","",""
"//0x1BFEC0","24","全試合が終了しました","","","",""
"//0x1BFED8","20","お疲れさまでした","","","",""
"//0x1BFEEC","36","これでトーナメントは終了いたします","","","",""
"//0x1BFF10","32","またの参加をお待ちしています","","","",""
"//0x1BFF30","40","一定時間でサーバーに戻れなかったので","","","",""
"//0x1BFF58","20","失格となりました","","","",""
"//0x1BFF6C","24","参加者が足りませんので","","","",""
"//0x1BFF84","36","トーナメントは不成立になりました","","","",""
"//0x1BFFA8","28","優勝者が決まりませんでした","","","",""
"//0x1BFFC4","24","登録拒否数オーバーです","","","",""
"//0x1BFFDC","32","これ以上、拒否者登録できません","","","",""
"//0x1BFFFC","32","ギャラリーモードで入りました","","","",""
"//0x1C001C","40","開催中のトーナメントの経過が見れます","","","",""
"//0x1C0044","32","トーナメントへの参加希望の方は","","","",""
"//0x1C0064","24","次回開催までお待ち下さい","","","",""
"//0x1C0080","36","トーナメントモードを退場しますか？","","","",""
"//0x1C00A4","28","一度退場すると次回開催まで","","","",""
"//0x1C00C0","24","入場できなくなります","","","",""
"0x1C00D8","8","検索中","搜尋中","Finding","",""
"//0x1C00E0","4","は","","","",""
"//0x1C00E4","12","にいます","","","",""
"//0x1C00F0","28","メモリーカード差込口　の","","","",""
"//0x1C010C","24","メモリーカード(PS2)が ","","","",""
"//0x1C0124","28","フォーマットされていません","","","",""
"//0x1C0140","24","フォーマットしますか？","","","",""
"//0x1C0158","24","メモリーカード(PS2)を ","","","",""
"//0x1C0170","28","フォーマットしています…","","","",""
"//0x1C018C","16","電源を切ったり","","","",""
"//0x1C019C","28","抜き差ししないでください","","","",""
"//0x1C01B8","36","正しくフォーマットできませんでした","","","",""
"//0x1C01DC","28","ハードディスクドライブに","","","",""
"//0x1C01F8","24","エラーが発生しました","","","",""
"//0x1C0210","32","ハードディスクドライブ付属の","","","",""
"//0x1C0230","28","取扱説明書の指示に従って","","","",""
"//0x1C024C","24","修復を行ってください","","","",""
"//0x1C0264","28","１２ブロック以上空きがある","","","",""
"//0x1C0280","32","システムファイルが登録された","","","",""
"//0x1C02A0","24","メモリーカード(PS2)と ","","","",""
"//0x1C02B8","28","ハードディスクドライブが","","","",""
"//0x1C02D4","24","見つかりませんでした","","","",""
"//0x1C02EC","32","通信ゲームファイルを利用せずに","","","",""
"//0x1C030C","20","先へ進みますか？","","","",""
"//0x1C0320","24","通信ゲームファイルが","","","",""
"//0x1C0338","28","ファイルを作成しない場合は","","","",""
"//0x1C0354","20","新規作成しますか？","","","",""
"//0x1C0368","28","ハードディスクドライブを","","","",""
"//0x1C0384","24","チェックしています…","","","",""
"//0x1C039C","24","通信ゲームファイルの","","","",""
"//0x1C03B4","24","設定を保存しています…","","","",""
"//0x1C03CC","32","電源を切ったりしないで下さい","","","",""
"//0x1C03EC","24","通信ゲームファイルを","","","",""
"//0x1C0404","24","○ボタンを押して下さい","","","",""
"//0x1C041C","28","メモリーカード(PS2)には ","","","",""
"//0x1C0438","32","通信ゲームファイルがありません","","","",""
"//0x1C0458","28","メモリーカード差込口　に","","","",""
"//0x1C0474","16","接続して下さい","","","",""
"//0x1C0484","24","○ボタン＝セーブしない","","","",""
"0x1C049C","24","メールを送信しました","       已傳送","     Email sent","",""
"0x1C04B4","24","対戦した相手のＩＤを"," 閣下想把對手的ＩＤ","Do you want to add the","",""
"0x1C04CC","32","戦友ファイルに記録しますか？","    加入到戰友名單當中？","opponents in your friend list?","",""
"0x1C04EC","16","登録しました","   已加入","   Added","",""
"0x1C04FC","24","情報を取得しています","    正在收集情報","Info is being acquired","",""
"0x1C0514","24","しばらくお待ちください","      請耐心等候"," Please wait a moment","",""
"0x1C052C","32","がパートナーを名乗り出ています","     想成為閣下的PARTNER","   Wants to be your partner","",""
"0x1C054C","36","をパートナーとして了解しますか？","     接受成為閣下的PARTNER？","Do you accept him as your partner?","",""
"0x1C0570","16","拒否しました","   已拒絶","  Refused","",""
"0x1C0580","24","戦績データを更新します","      戰績已更新"," Battle record updated","",""
"0x1C0598","16","は去りました","   已離開","  has left","",""
"//0x1C05A8","16","相手がいません","","","",""
"//0x1C05B8","24","ただ今、混雑しています","","","",""
"//0x1C05D0","20","時間をおいてから","","","",""
"//0x1C05E4","28","もう一度確認してください","","","",""
"0x1C0600","20","定員が埋まりました","     隊伍已滿"," Slot's been filled","",""
"0x1C0614","32","他のパートナーを探してください","       請尋找其他PARTNER"," Please find another partner","",""
"//0x1C0634","16","ＢＵＳＹです","","","",""
"//0x1C0644","24","相手と条件が違うために","","","",""
"//0x1C065C","20","チームを組めません","","","",""
"//0x1C0670","24","のＩＤを削除しました","","","",""
"//0x1C0688","32","全ての項目を入力してください","","","",""
"//0x1C06A8","28","必須項目を入力してください","","","",""
"0x1C06C4","24","メールを送信しますか？","    確定傳送信息？","Confirm sending mail?","",""
"//0x1C06DC","36","相手のゲームとタイトルが違うために","","","",""
"//0x1C0700","36","セーブをせずにゲームを続けますか？","","","",""
"0x1C0724","12","戦場移動","選擇戰場","Battlefield","",""
"0x1C0730","12","発言者一覧","發言者名單","Speakers","",""
"0x1C073C","16","特定の人を捜す","搜尋指定對象","ID Lookup","",""
"0x1C074C","16","メールを開く","打開郵箱","Open Mailbox","",""
"0x1C075C","12","対戦成績","對戰成績","Ranking","",""
"0x1C0768","12","ネット終了","中斷連線","Disconnect","",""
"//0x1C0774","12","ＥＸＩＴ","","","",""
"0x1C0780","28","戦場選択画面に移動します","前往戰場選擇畫面","Go to battlefield selection","",""
"//0x1C079C","4","　","","","",""
"0x1C07A0","36","発言したユーザーの一覧を表示します","査閲發言者名單","Display speaker list","",""
"0x1C07C4","20","メールを送ったり、","傳送信息、","Send mail","",""
"0x1C07D8","32","他のユーザーの検索ができます","或搜尋其他玩家","or search for other players","",""
"0x1C07F8","20","メールを表示します","査閲信息","Check for mail","",""
"0x1C080C","24","対戦成績を表示します","顯示個人的對戰成績","Show the battle results","",""
"0x1C0824","24","操作ボタンを説明します","顯示操作説明","Show tutorial","",""
"0x1C083C","20","回線を切断して、","中斷連線","Disconnect and","",""
"0x1C0850","24","通信対戦を終了します","結束「連線對戰」","end Online Battle","",""
"0x1C0868","20","前の画面に戻ります"," "," ","",""
"//0x1C087C","8","Ｂ−１","","","",""
"//0x1C0884","8","Ｂ−２","","","",""
"//0x1C088C","8","Ｃ−１","","","",""
"//0x1C0894","8","Ｃ−２","","","",""
"//0x1C089C","8","Ｄ−１","","","",""
"//0x1C08A4","8","Ｄ−２","","","",""
